Mode: FUNC_078  Corner: FUNC_0.78V_SETUP
Scenario: FUNC_0.78V_SETUP
Constraint: max_capacitance

Category Summary
Category,VIOLATED
SRAM,16384
Power_Switch,88
Level_Shifter,2
BUF,5564
INV,62
mem,1116
others,464

Category,Type,Name,Required,Actual,Slack,Violation
SRAM,NET,bit_secure_9_slice_21_t_din2piso[2],0.025,16.893,-16.868,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_21_nibble_0/O1[2],0.025,16.893,-16.868,VIOLATED
SRAM,NET,bit_secure_14_slice_28_t_din2piso[1],0.025,16.892,-16.867,VIOLATED
SRAM,PIN,PIN: bit_secure_14_slice_28_nibble_0/O1[1],0.025,16.892,-16.867,VIOLATED
SRAM,NET,bit_secure_11_slice_30_t_din2piso[15],0.025,16.874,-16.849,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_30_nibble_1/O2[3],0.025,16.874,-16.849,VIOLATED
SRAM,NET,bit_secure_11_slice_30_t_din2piso[6],0.025,16.741,-16.716,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_30_nibble_0/O2[2],0.025,16.741,-16.716,VIOLATED
SRAM,NET,bit_secure_15_slice_21_t_din2piso[9],0.025,16.708,-16.683,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_21_nibble_1/O1[1],0.025,16.708,-16.683,VIOLATED
SRAM,NET,bit_secure_13_slice_31_t_din2piso[10],0.025,16.707,-16.682,VIOLATED
SRAM,PIN,PIN: bit_secure_13_slice_31_nibble_1/O1[2],0.025,16.707,-16.682,VIOLATED
SRAM,NET,bit_secure_9_slice_31_t_din2piso[2],0.025,16.687,-16.662,VIOLATED
SRAM,PIN,PIN: bit_secure_9_slice_31_nibble_0/O1[2],0.025,16.687,-16.662,VIOLATED
SRAM,NET,bit_secure_11_slice_30_t_din2piso[11],0.025,16.617,-16.592,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_30_nibble_1/O1[3],0.025,16.617,-16.592,VIOLATED
SRAM,NET,bit_secure_15_slice_21_t_din2piso[2],0.025,16.611,-16.586,VIOLATED
SRAM,PIN,PIN: bit_secure_15_slice_21_nibble_0/O1[2],0.025,16.611,-16.586,VIOLATED
SRAM,NET,bit_secure_14_slice_13_t_din2piso[4],0.025,16.492,-16.467,VIOLATED
SRAM,PIN,PIN: bit_secure_14_slice_13_nibble_0/O2[0],0.025,16.492,-16.467,VIOLATED
SRAM,NET,bit_secure_14_slice_13_t_din2piso[3],0.025,16.485,-16.460,VIOLATED
SRAM,PIN,PIN: bit_secure_14_slice_13_nibble_0/O1[3],0.025,16.485,-16.460,VIOLATED
SRAM,NET,bit_secure_14_slice_28_t_din2piso[5],0.025,16.482,-16.457,VIOLATED
SRAM,PIN,PIN: bit_secure_14_slice_28_nibble_0/O2[1],0.025,16.482,-16.457,VIOLATED
SRAM,NET,bit_secure_11_slice_15_t_din2piso[7],0.025,16.473,-16.448,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_15_nibble_0/O2[3],0.025,16.473,-16.448,VIOLATED
SRAM,NET,bit_secure_11_slice_30_t_din2piso[8],0.025,16.466,-16.441,VIOLATED
SRAM,PIN,PIN: bit_secure_11_slice_30_nibble_1/O1[0],0.025,16.466,-16.441,VIOLATED
SRAM,NET,bit_secure_14_slice_28_t_din2piso[11],0.025,16.444,-16.419,VIOLATED
SRAM,PIN,PIN: bit_secure_14_slice_28_nibble_1/O1[3],0.025,16.444,-16.419,VIOLATED
SRAM,NET,bit_secure_15_slice_4_t_din2piso[15],0.025,16.439,-16.414,VIOLATED
